#1)itw 2)it 3)tw 4)t 5)C(tw,tw+t) 6)D(tw,tw+t) 7)Y=D/C^2 8)loss 9)var(loss) 10)gradloss 11)var(grad)
3 9 3 10 2.9762339456997976e-08 1.4119747029578845e-14 0.000280192722216 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
5 8 5 8 2.0376289097832917e-08 7.006587027105876e-15 0.000296633638868 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
6 6 7 6 1.2580534602737861e-08 2.9040276002380104e-15 0.00032252739782 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
7 4 9 4 6.95413472727433e-09 1.6125211039131252e-15 0.000586115589346 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
8 2 11 2 2.1042849371806407e-09 2.5701103264294586e-16 0.0010202503206 2.3000877281580623 6.166850757605147e-05 0.00468412260312 0.149730058172
0 12 0 14 5.291452498096639e-08 4.390081922617254e-14 0.000275604869947 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
2 11 2 12 4.252798299164251e-08 2.96352941314816e-14 0.000288020723555 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
3 10 3 11 3.57034325877345e-08 1.9770478805148816e-14 0.000272622257456 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
4 9 4 10 3.031262834422252e-08 1.4322559536614148e-14 0.000273991766839 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
6 7 7 7 1.6717758055965932e-08 5.438666985616388e-15 0.000342058559299 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
7 5 9 5 9.957439986296794e-09 2.9376322487561225e-15 0.000520794151176 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
8 3 11 3 3.90862992697286e-09 6.017063736324965e-16 0.000692308353929 2.2993116559913065 5.9789810802790555e-05 0.00465407211053 0.151996969228
